sample_id,split,scenario_instance_id,scenario_type,timestamp_s,window_duration_s,boundary_case,gps_valid,gps_speed_kmh,imu_valid,pitch_abs_deg,roll_abs_deg,roll_error_deg,outward_rate_deg_s,imu_attention_duration_ms,imu_urgent_consistent_samples,acc_norm_mean_mps2,acc_delta_signed_mps2,acc_change_abs_mps2,jerk_abs_mps3,radar_valid,radar_target_count,radar_path_target_count,radar_min_distance_m,radar_relative_speed_mps,radar_closing_speed_mps,radar_ttc_s,vision_valid,object_count,path_object_count,max_path_bottom_ratio,box_growth_rate_per_s,growth_duration_s,visual_tau_s,vision_confidence,imu_rule_score,motion_rule_score,radar_rule_score,vision_rule_score,rule_score,risk_label,risk_label_name,hard_rule_triggered,trigger_reason
tra-00001,train,tra-2-00216,multisensor_high,115.082,1.0,0,1,13.1099,1,0.5502,0.3027,0.1392,2.6337,20.99,1,9.7042,0.7723,0.7723,2.2891,1,3,1,1.4435,-0.6973,0.6973,2.0701,1,4,3,0.897,0.751,0.9383,1.3186,0.8599,0.078616,0.180203,0.751635,0.841768,0.841768,2,高,1,vision
tra-00002,train,tra-0-01834,distant_obstacle_off_path,761.844,1.0,0,1,6.9059,1,3.4242,4.4181,3.464,0.4538,59.98,1,9.7156,0.406,0.406,1.9907,1,2,0,4.5983,-0.5032,0.5032,9.1382,1,1,0,0.0,0.0,0.0,,0.9711,0.133946,0.139349,0.153221,0.0,0.153221,0,低,0,radar
tra-00003,train,tra-0-01503,normal_turn,343.291,1.0,0,1,14.8479,1,0.6178,23.0973,1.7327,1.5679,73.86,0,9.811,0.7813,0.7813,2.0244,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.104546,0.182303,0.0,0.0,0.182303,0,低,0,motion
tra-00004,train,tra-0-02086,normal_turn,578.678,1.0,0,0,,1,2.6536,13.1707,1.633,0.3803,79.74,1,9.6546,0.5803,0.5803,1.1915,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.067803,0.135403,0.0,0.0,0.135403,0,低,0,motion
tra-00005,train,tra-0-00026,normal_turn,299.926,1.0,0,1,8.5836,1,0.7116,15.7868,4.4132,3.2825,70.78,1,9.9578,0.162,0.162,2.4059,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.246372,0.168413,0.0,0.0,0.246372,0,低,0,imu
tra-00006,train,tra-0-02061,visual_path_candidate,571.665,1.0,0,1,9.3425,1,1.9261,4.0442,3.874,0.1601,42.76,0,9.6184,-0.0932,0.0932,2.1313,1,0,0,,0.0,0.0,,1,4,3,0.4556,0.0,0.0,,0.6887,0.140073,0.149191,0.0,0.092667,0.149191,0,低,0,motion
tra-00007,train,tra-2-00589,radar_urgent,1733.82,1.0,0,1,16.3396,1,2.737,0.9715,0.0254,1.1799,117.16,0,9.9909,-0.5365,0.5365,0.9586,1,3,1,4.3839,-2.9585,2.9585,1.4818,1,0,0,0.0,0.0,0.0,,0.0,0.033926,0.125183,0.822217,0.0,0.822217,2,高,1,radar
tra-00008,train,tra-0-02028,sensor_gap,385.365,1.0,0,1,17.4591,1,2.8163,5.0951,1.1625,0.9666,100.3,1,9.813,0.4097,0.4097,3.3574,1,0,0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,,0.0,0.067752,0.235018,0.0,0.0,0.235018,0,低,0,motion
tra-00009,train,tra-1-01091,moderate_acc_change,1256.482,1.0,0,1,21.0011,1,3.9893,4.3061,3.6231,1.8372,33.49,0,9.6507,2.0747,2.0747,6.0223,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.17825,0.421561,0.0,0.0,0.421561,1,中,0,motion
tra-00010,train,tra-0-02054,normal_straight,372.627,1.0,0,1,12.2524,1,2.377,1.0414,3.4841,2.126,27.83,0,10.025,0.1468,0.1468,3.6456,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.181472,0.255192,0.0,0.0,0.255192,0,低,0,motion
